NUMERO;DATA;CODIGO ORGAO;ORGAO;CODIGO DESPESA;DESPESA;DATA INCLUSAO;VALOR;LIQUIDADO;PAGO;SALDO
730;29/12/2022;02011; Superintendência Cajazeirense de Trânsito;469071 ; Principal da Dívida Contratual Resgatado;03/01/2023;1234.26;1234.26;1234.26;0
729;29/12/2022;02011; Superintendência Cajazeirense de Trânsito;469071 ; Principal da Dívida Contratual Resgatado;03/01/2023;551.1;551.1;551.1;0
728;29/12/2022;02011; Superintendência Cajazeirense de Trânsito;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;03/01/2023;0.26;0.26;0.26;0
727;28/12/2022;02011; Superintendência Cajazeirense de Trânsito;339030 ; Material de Consumo;29/12/2022;10921.00;10921.00;10921.00;0
725;26/12/2022;02011; Superintendência Cajazeirense de Trânsito;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;27/12/2022;6396.96;6396.96;6396.96;0
724;23/12/2022;02011; Superintendência Cajazeirense de Trânsito;339036 ; Outros Serviços de Terceiros - Pessoa Física;26/12/2022;2600.00;2600.00;2600.00;0
723;23/12/2022;02011; Superintendência Cajazeirense de Trânsito;339030 ; Material de Consumo;26/12/2022;9600.93;9600.93;9600.93;0
722;23/12/2022;02011; Superintendência Cajazeirense de Trânsito;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;26/12/2022;5399.55;5399.55;5399.55;0
721;22/12/2022;02011; Superintendência Cajazeirense de Trânsito;339030 ; Material de Consumo;23/12/2022;251.6;251.6;251.6;0
720;22/12/2022;02011; Superintendência Cajazeirense de Trânsito;339030 ; Material de Consumo;23/12/2022;257.4;257.4;257.4;0
719;22/12/2022;02011; Superintendência Cajazeirense de Trânsito;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;23/12/2022;100;100;100;0
718;21/12/2022;02011; Superintendência Cajazeirense de Trânsito;319011 ; Vencimentos e Vantagens Fixas - Pessoal Civil;22/12/2022;87746.39;87746.39;87746.39;0
717;21/12/2022;02011; Superintendência Cajazeirense de Trânsito;319011 ; Vencimentos e Vantagens Fixas - Pessoal Civil;22/12/2022;31308.40;31308.40;31308.40;0
716;21/12/2022;02011; Superintendência Cajazeirense de Trânsito;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;22/12/2022;370;370;370;0
715;21/12/2022;02011; Superintendência Cajazeirense de Trânsito;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;22/12/2022;370;370;370;0
714;21/12/2022;02011; Superintendência Cajazeirense de Trânsito;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;22/12/2022;2000.00;2000.00;2000.00;0
713;21/12/2022;02011; Superintendência Cajazeirense de Trânsito;339039 ; Outros Serviços de Terceiros - Pessoa Jurídica;22/12/2022;5500.00;5500.00;5500.00;0
