NU_ANO_CENSO;NO_MUNICIPIO;CO_MUNICIPIO;NO_ENTIDADE;TP_DEPENDENCIA;QT_MAT_BAS;QT_MAT_INF;QT_MAT_INF_CRE;QT_MAT_INF_PRE;QT_MAT_FUND;QT_MAT_FUND_AI;QT_MAT_FUND_AF
2013;Cajazeiras;2503704;ESC PROFISSIONAL MONTE CARMELO;2;179;0;0;0;179;179;0
2013;Cajazeiras;2503704;INSTITUTO FEDERAL DA PARAIBA - CAMPUS CAJAZEIRAS;1;703;0;0;0;0;0;0
2013;Cajazeiras;2503704;EMEIEF VITORIA BEZERRA;3;362;27;0;27;335;195;140
2013;Cajazeiras;2503704;EMEIEF GALDINO PIRES FERREIRA;3;240;41;0;41;173;112;61
2013;Cajazeiras;2503704;ESCOLA TECNICA DE SAUDE DE CAJAZEIRAS;1;357;0;0;0;0;0;0
2013;Cajazeiras;2503704;CEJA - CENTRO DE EDUCACAO DE JOVENS ADULTOS MONS VICENTE FREITAS;2;1079;0;0;0;0;0;0
2013;Cajazeiras;2503704;EEEF ANTONIO DIAS DA SILVA;2;64;0;0;0;38;38;0
2013;Cajazeiras;2503704;EMEIEF JOSE ANTONIO DO NASCIMENTO;3;18;4;0;4;14;14;0
2013;Cajazeiras;2503704;EMEIEF JOSE ANTONIO DIAS;3;276;22;0;22;254;110;144
2013;Cajazeiras;2503704;EMEIEF ANTONIO TABOSA RODRIGUES - CAIC;3;508;131;81;50;297;194;103
2013;Cajazeiras;2503704;CENTRO EDUCACIONAL JOSUE ROBERTO;4;71;29;18;11;42;42;0
2013;Cajazeiras;2503704;EEIF SAGRADO CORACAO DE JESUS;4;35;35;0;35;0;0;0
2013;Cajazeiras;2503704;DECISIVO COLEGIO E CURSO;4;81;22;3;19;59;39;20
2013;Cajazeiras;2503704;CRECHE FRANCISCA LEANDRO DE SOUSA;3;56;56;18;38;0;0;0
2013;Cajazeiras;2503704;ESC DE ENS FUND NOVA GERACAO;4;16;9;4;5;7;7;0
2013;Cajazeiras;2503704;EDUC CHAPEUZINHO VERMELHO;4;76;40;10;30;36;35;1
2013;Cajazeiras;2503704;EMEIEF IRMA NIRVANDA LEITE ROLIM;3;111;21;0;21;39;39;0
2013;Cajazeiras;2503704;ESCOLA MENINO MALUQUINHO;4;33;19;0;19;14;14;0
2013;Cajazeiras;2503704;CENTRO EDUCACIONAL SENHORA DA PIEDADE;4;55;27;0;27;28;28;0
2013;Cajazeiras;2503704;ESCOLA SORRISO INFANTIL;4;159;61;0;61;98;98;0
2013;Cajazeiras;2503704;DEFINICAO COLEGIO E CURSO;4;304;28;0;28;159;50;109
2013;Cajazeiras;2503704;CENTRO EDUCACIONAL IMACULADA CONCEICAO;4;87;29;0;29;58;58;0
2013;Cajazeiras;2503704;ESCOLA MAE RAINHA;4;0;0;0;0;0;0;0
2013;Cajazeiras;2503704;EEIF NOVO SECULO;4;47;21;0;21;26;26;0
2013;Cajazeiras;2503704;ESCOLA DE EDUC ESPECIAL ANGELINA TAVARES DE MELO;4;0;0;0;0;0;0;0
2013;Cajazeiras;2503704;ASSOCIACAO DAS ANTIGAS ALUNAS DOROTEIAS;4;51;51;51;0;0;0;0
2013;Cajazeiras;2503704;CRECHE NOSSA SENHORA DA PIEDADE;3;108;108;66;42;0;0;0
2013;Cajazeiras;2503704;INSTITUTO EDUCACIONAL NOSSA SENHORA DE FATIMA;4;65;29;7;22;36;36;0
2013;Cajazeiras;2503704;EEIF ESTRELA CADENTE;4;97;63;22;41;34;34;0
2013;Cajazeiras;2503704;SESC LER CAJAZEIRAS;4;83;0;0;0;0;0;0
2013;Cajazeiras;2503704;EDUCANDARIO PASSOS FIRMES;4;72;50;2;48;22;22;0
2013;Cajazeiras;2503704;EEIF FENIX;4;39;24;9;15;15;15;0
2014;Cajazeiras;2503704;COLEGIO NOSSA SRª DE LOURDES;4;1092;163;90;73;619;279;340
2014;Cajazeiras;2503704;COLEGIO NOSSA SRA DO CARMO LTDA;4;687;64;17;47;392;181;211
