ORGAO_INTERNO
secretaria municipal de infra estrutura
secretaria municipal de educacao
secretaria municipal de administracao
secretaria municipal de desenvolvimento rural e do meio ambiente e recursos hidricos
secretaria de governo e articulacao politica
secretaria municipal da fazenda publica
secretaria municipal de planejamento
secretaria municipal de politicas publicas
secretaria municipal de juventude esporte turismo lazer
procuradoria geral do municipio
secretaria municipal do orcamento controle interno
fundo municipal de saude
fundo municipal de assistencia social
superintendencia cajazeirense de transito
instituto de previdencia e assistencia municipal de cajazeiras
secretaria municipal de saude
secretaria municipal de cidadania e promocao social
secretaria municipal de desenvolvimento humano
Secretaria Municipal de Controle Social
secretaria municipal de cultura e turismo
secretaria municipal de politicas publicas para as mulheres
secretaria muncipal de juventude esporte turismo lazer
camara municipal
secretaria municipal de comunicacao
